Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1896,Saint Clair,NA,58,NA,491,NA,NA,NA,176
1896,Superior,NA,13,5988,23,NA,NA,NA,NA
1897,Erie,NA,137,NA,1529,NA,0,0,3753
1897,Huron,NA,3200,5378,4012,NA,NA,NA,3265
1897,Michigan,NA,337,7823,762,NA,0,0,3079
1897,Ontario,NA,53,157,5,NA,2,NA,169
1897,Saint Clair,NA,33,NA,434,NA,NA,NA,152
1897,Superior,NA,0,5337,100,NA,NA,NA,NA
1898,Erie,NA,274,NA,440,NA,0,0,544
1898,Huron,NA,2634,6745,4855,NA,NA,NA,4533
1898,Michigan,NA,287,2540,271,NA,0,0,303
1898,Ontario,NA,0,102,0,NA,0,NA,219
1898,Saint Clair,NA,57,NA,392,NA,NA,NA,109
1898,Superior,NA,0,4165,111,NA,NA,NA,NA
1899,Erie,NA,1628,NA,1845,NA,1,3634,3732
1899,Huron,NA,2766,8144,5367,NA,NA,6,5752
1899,Michigan,NA,1120,5286,283,NA,123,26,3234
1899,Ontario,NA,264,119,10,NA,0,1,635
1899,Saint Clair,NA,59,NA,342,NA,NA,NA,90
1899,Superior,NA,18,5808,49,NA,NA,NA,NA
1900,Erie,NA,282,NA,191,NA,0,0,823
1900,Huron,NA,3420,7299,3051,NA,NA,0,7155
1900,Michigan,NA,630,2016,189,NA,0,0,332
1900,Ontario,NA,0,60,0,NA,0,0,248
1900,Saint Clair,NA,10,NA,435,NA,NA,NA,26
1900,Superior,NA,16,3907,64,NA,NA,NA,NA
1901,Erie,NA,390,NA,401,NA,0,0,644
1901,Huron,NA,3490,7236,2561,NA,NA,0,7081
1901,Michigan,NA,588,2844,153,NA,0,0,489
1901,Ontario,NA,0,65,0,NA,0,0,354
1901,Saint Clair,NA,10,NA,291,NA,NA,NA,58
1901,Superior,NA,19,4576,200,NA,NA,NA,NA
1902,Erie,NA,266,NA,446,NA,0,0,673
1902,Huron,NA,5628,7280,3807,NA,NA,0,5327
1902,Michigan,NA,926,4337,187,NA,0,0,454
1902,Ontario,NA,0,65,0,NA,0,0,545
1902,Saint Clair,NA,20,NA,326,NA,NA,NA,74
1902,Superior,NA,18,3855,82,NA,NA,NA,NA
1903,Erie,NA,877,NA,947,NA,14,3547,1292
1903,Huron,NA,7050,8009,5941,NA,NA,37,4848
1903,Michigan,NA,3273,8943,346,NA,121,536,3598
1903,Ontario,NA,73,76,8,NA,1,4,472
1903,Saint Clair,NA,20,NA,340,NA,NA,NA,57
1903,Superior,NA,164,7352,130,NA,NA,NA,NA
1904,Erie,NA,255,NA,189,NA,0,0,668
1904,Huron,NA,5708,8673,5282,NA,NA,0,3611
1904,Michigan,NA,1803,4254,125,NA,0,0,586
1904,Ontario,NA,0,84,0,NA,0,0,210
