"Community","Functional.Class","avg_speed.x","total_volume.x","N.x","avg_speed.y","total_volume.y","N.y","nonfatal_injuries","fatal_injuries","change_in_speed","change_in_volume","change_in_accidents"
"sharon","Interstate",67.450759282364,24499639,NA,70.9730129870193,20015949,NA,NA,NA,3.5222537046553,-4483690,NA
"sheffield","Arterial",52.6476177616735,4033970,NA,53.2829523973301,4598553,NA,NA,NA,0.635334635656598,564583,NA
"shelburne","Arterial",50.9575584508299,28015,4,46.089249434028,17227,2,0,0,-4.8683090168019,-10788,-2
"sherborn","Arterial",33.1632997348581,78790,1,42.4927789046653,12325,NA,NA,NA,9.3294791698072,-66465,NA
"shrewsbury","Arterial",33.2802723229865,213104,151,41.849639498049,160781,117,0,0,8.5693671750625,-52323,-34
"shrewsbury","Collector",32.6031401956503,55914,14,33.3900094761067,7387,9,0,0,0.786869280456401,-48527,-5
"shutesbury","Collector",36.8949464831822,50819,NA,38.0044975222946,23326,NA,NA,NA,1.1095510391124,-27493,NA
"somerset","Arterial",30.0519583795169,3104713,58,37.6350495361372,3092557,53,0,0,7.5830911566203,-12156,-5
"somerset","Collector",25.0482871285987,56896,11,28.0803127221038,4221,16,0,0,3.0320255935051,-52675,5
"south hadley","Arterial",31.8086362131269,54104,13,36.2182594131067,180654,4,0,0,4.4096231999798,126550,-9
"south hadley","Collector",31.2223548948048,9107,2,29.9503203856793,8579,NA,NA,NA,-1.2720345091255,-528,NA
"southborough","Collector",31.6810143875876,7608,1,28.4321704793367,10644,1,0,0,-3.2488439082509,3036,0
"southborough","Interstate",59.1103759892027,36404666,NA,62.5294120752198,25616048,NA,NA,NA,3.4190360860171,-10788618,NA
"southbridge","Arterial",36.5992054393424,69230,65,26.2453235653236,20476,34,0,0,-10.3538818740188,-48754,-31
"southbridge","Collector",25.0104712041885,382,8,24.5047653626214,11018,14,0,0,-0.505705841567103,10636,6
"southwick","Arterial",34.4391187472153,41334,12,35.3976231522035,94216,9,0,0,0.958504404988197,52882,-3
"southwick","Collector",37.4378206262162,5654,NA,37.5729507331997,9481,2,0,0,0.135130106983496,3827,NA
"spencer","Arterial",35.2514254823209,211022,15,43.1034365891683,14759,12,0,0,7.8520111068474,-196263,-3
"springfield","Arterial",28.9911620347968,178750,296,27.6883281823618,116246,208,59,0,-1.302833852435,-62504,-88
"springfield","Collector",27.1229581534831,26881,22,27.9965478884551,34946,26,23,0,0.873589734972001,8065,4
"springfield","Freeway & Expressway",36.402140389615,140395,45,29.0288142150757,105972,20,0,0,-7.3733261745393,-34423,-25
"springfield","Interstate",58.7598223545519,29161588,93,61.7853712073789,84038741,88,0,1,3.025548852827,54877153,-5
"stockbridge","Arterial",49.6595410618424,22292,5,42.781874411329,34915,5,0,0,-6.8776666505134,12623,0
"stoneham","Interstate",61.8268425726532,39001727,NA,67.2293199272266,59241426,2,0,0,5.4024773545734,20239699,NA
"stoughton","Arterial",30.7671996882312,127822,102,25.5450620997134,28261,54,28,0,-5.2221375885178,-99561,-48
"sturbridge","Interstate",56.0177026639874,7580866,30,67.2648293420675,33941497,11,0,0,11.2471266780801,26360631,-19
"sunderland","Collector",30.7676805608748,12517,NA,36.4501614205004,4956,NA,NA,NA,5.6824808596256,-7561,NA
"swansea","Arterial",37.8477808928756,106436,151,32.1932458430672,29110,123,0,0,-5.65453504980839,-77326,-28
"swansea","Collector",28.7214701680722,63561,4,26.6095565423688,16439,1,0,0,-2.1119136257034,-47122,-3
"taunton","Arterial",36.2911486235713,38641,81,30.0896505980353,209967,78,0,0,-6.201498025536,171326,-3
"taunton","Collector",32.6303560273727,187874,16,32.5153685601561,66123,22,0,0,-0.114987467216601,-121751,6
"tewksbury","Arterial",34.6045950405083,23997,56,32.9617304751117,28776,27,0,0,-1.6428645653966,4779,-29
"tewksbury","Collector",31.1912300802,5702,2,28.0975450081833,18330,4,0,0,-3.0936850720167,12628,2
"tolland","Local Road",29.091381872214,2692,NA,27.5206073752712,461,NA,NA,NA,-1.5707744969428,-2231,NA
"upton","Arterial",40.6030940542032,46422,42,39.7823714310661,45837,33,0,0,-0.820722623137094,-585,-9
"uxbridge","Arterial",42.3370871941079,21052,42,29.6170947258607,42739,50,0,0,-12.7199924682472,21687,8
"waltham","Interstate",44.1338024156201,45745723,70,63.8042105087517,68460825,55,0,0,19.6704080931316,22715102,-15
"ware","Arterial",37.5939349127475,47428,22,43.0465453547692,65223,16,0,0,5.4526104420217,17795,-6
"wareham","Arterial",33.3460398356642,261449,52,32.3350265620857,102523,38,0,0,-1.0110132735785,-158926,-14
"wareham","Interstate",52.3994602374035,9647849,3,71.0459369210234,14889236,3,0,0,18.6464766836199,5241387,0
"wareham","Local Road",21.7033949962863,48309,2,24.4621739130435,11500,9,0,0,2.7587789167572,-36809,7
"warren","Collector",44.5373413422475,13231,NA,41.5870225981234,7567,NA,NA,NA,-2.9503187441241,-5664,NA
"warren","Interstate",62.4967601041733,17453007,6,61.5453156730235,12795702,2,0,0,-0.951444431149795,-4657305,-4
"wendell","Collector",37.5636391022744,3503,NA,35.9332597232678,10715,NA,NA,NA,-1.6303793790066,7212,NA
"wenham","Arterial",30.2758814129807,29413,14,27.6055844381578,19380,5,0,0,-2.6702969748229,-10033,-9
"west boylston","Collector",34.2244993926134,38284,5,39.0793491178353,10939,2,0,0,4.8548497252219,-27345,-3
"west bridgewater","Arterial",33.577796395831,300978,26,36.6928984993501,8002,14,0,0,3.1151021035191,-292976,-12
"west bridgewater","Freeway & Expressway",65.9293437092908,35395201,2,70.4566399191443,31248839,1,0,0,4.52729620985349,-4146362,-1
"west brookfield","Arterial",37.5944153910415,65252,NA,32.711494890646,43266,NA,NA,NA,-4.8829205003955,-21986,NA
"west springfield","Arterial",38.3937442188387,4803322,87,36.0609551885077,3667244,44,0,0,-2.332789030331,-1136078,-43
"west springfield","Local Road",27.1743612465016,23251,6,39.2641415150909,30031,4,0,0,12.0897802685893,6780,-2
